Sym,Name,Last,Change,Percent,High,Low,Volume,Vol2,vol3,Time,Links
A,Agilent Technologies,56.60,+0.11,+0.19%,56.74,56.15,1,183,200,07/11/14,   
AA,Alcoa Inc,15.97,+0.35,+2.24%,15.98,15.62,15,560,700,07/11/14,   
AAPL,Apple Inc,95.22,+0.18,+0.19%,95.89,94.86,34,018,199,07/11/14,   
ABBV,Abbvie Inc. Common Stock,54.96,-0.83,-1.49%,56.60,54.48,13,593,000,07/11/14,   
ABC,Amerisourcebergen Corp,72.98,+0.06,+0.08%,73.10,72.43,527,100,07/11/14,   
ABT,Abbott Laboratories,41.30,+0.06,+0.15%,41.36,40.98,5,078,600,07/11/14,   
ACE,Ace Limited,104.60,+0.34,+0.33%,104.67,103.74,1,156,700,07/11/14,   
ACN,Accenture Plc.,79.77,unch,unch,80.11,79.55,2,586,600,07/11/14,   
ACT,Actavis Inc,217.65,+1.13,+0.52%,217.80,215.08,1,067,100,07/11/14,   
ADBE,Adobe Systems Incorporated,72.26,+0.56,+0.78%,72.44,71.05,1,930,500,07/11/14,   
ADI,Analog Devices,54.29,-0.11,-0.20%,54.46,54.01,933,900,07/11/14,   
ADM,Archer-Daniels-Midland Company,47.85,+0.50,+1.06%,48.04,46.84,4,814,900,07/11/14,   
ADP,Automatic Data Processing,80.13,-0.01,-0.01%,80.30,79.62,1,069,200,07/11/14,   
ADS,Alliance Data Systems Corp,275.36,+1.37,+0.50%,276.34,273.17,425,000,07/11/14,   
ADSK,Autodesk Inc,55.57,+0.13,+0.23%,55.71,55.00,1,226,900,07/11/14,   
ADT,ADT Corp,33.05,-0.29,-0.87%,33.25,32.83,1,342,600,07/11/14,   
AEE,Ameren Corp,39.89,-0.31,-0.77%,40.37,39.78,874,000,07/11/14,   
AEP,American Electric Power Company,54.31,-0.49,-0.89%,54.95,54.13,1,986,700,07/11/14,   
AES,The Aes Corp,15.41,-0.12,-0.77%,15.49,15.32,4,120,600,07/11/14,   
AET,Aetna Inc,81.61,+0.36,+0.44%,81.99,80.92,1,762,700,07/11/14,   
AFL,Aflac Incorporated,62.66,+0.24,+0.38%,62.74,62.07,1,109,400,07/11/14,   
AGN,Allergan Inc,166.43,+0.83,+0.50%,166.98,163.01,953,600,07/11/14,   
AIG,American International Group,54.52,+0.04,+0.07%,54.67,54.04,4,044,100,07/11/14,   
AIV,Apartment Investment and Management,33.14,+0.09,+0.27%,33.20,32.89,596,900,07/11/14,   
AIZ,Assurant Inc,66.04,+0.28,+0.43%,66.19,65.16,567,200,07/11/14,   
AKAM,Akamai Technologies,59.90,-0.17,-0.28%,60.21,59.76,2,225,900,07/11/14,   
ALL,Allstate Corp,58.20,+0.13,+0.22%,58.25,57.76,1,422,700,07/11/14,   
ALLE,Allegion Plc Ordinary Shares Wh,56.03,+0.43,+0.77%,56.45,55.44,268,900,07/11/14,   
ALTR,Altera Corp,34.91,-0.20,-0.57%,35.21,34.79,1,639,800,07/11/14,   
ALXN,Alexion Pharmaceuticals,163.21,+0.32,+0.20%,163.75,160.89,724,200,07/11/14,   
AMAT,Applied Materials,22.85,-0.02,-0.09%,23.02,22.73,9,123,101,07/11/14,   
AME,Amtek Inc,52.24,+0.07,+0.13%,52.43,51.82,786,400,07/11/14,   
AMGN,Amgen Inc,119.77,+0.82,+0.69%,120.80,119.11,2,733,100,07/11/14,   
AMP,Ameriprise Financial Services,121.06,+0.79,+0.66%,121.20,119.41,562,400,07/11/14,   
AMT,American Tower Corp,91.64,+0.23,+0.25%,91.83,90.99,1,066,200,07/11/14,   
AMZN,Amazon.Com Inc,346.20,+18.28,+5.57%,347.00,334.71,8,309,000,07/11/14,   
AN,Autonation Inc,60.92,+0.24,+0.40%,61.10,60.41,840,400,07/11/14,   
AON,AON Plc,90.09,+0.13,+0.14%,90.25,89.48,713,600,07/11/14,   
APA,Apache Corp,97.40,-1.82,-1.83%,99.09,97.37,2,191,800,07/11/14,   
APC,Anadarko Petroleum Corp,104.78,-1.36,-1.28%,106.06,104.45,2,869,400,07/11/14,   
APD,Air Products and Chemicals,129.42,+0.73,+0.57%,129.45,128.33,631,500,07/11/14,   
APH,Amphenol Corp,96.59,-0.07,-0.07%,97.03,96.30,279,300,07/11/14,   
ARG,Airgas Inc,109.34,-0.16,-0.15%,109.61,108.96,267,500,07/11/14,   
ATI,Allegheny Technologies Inc,45.63,+0.15,+0.33%,45.77,45.08,873,800,07/11/14,   
AVB,Avalonbay Communities,143.86,+0.06,+0.04%,144.30,143.06,530,700,07/11/14,   
AVGO,Avago Technologies,73.20,+0.05,+0.07%,73.48,72.67,1,251,700,07/11/14,   
AVP,Avon Products,14.30,-0.13,-0.90%,14.48,14.24,2,320,400,07/11/14,   
AVY,Avery Dennison Corp,50.49,-0.36,-0.71%,50.92,50.38,569,500,07/11/14,   
AXP,American Express Company,94.47,+0.01,+0.01%,94.59,93.75,2,108,500,07/11/14,   
AZO,Autozone,533.45,-0.57,-0.11%,534.57,528.50,109,500,07/11/14,   
BA,Boeing Company,128.09,+1.30,+1.03%,128.24,126.36,3,194,600,07/11/14,   
BAC,Bank of America Corp,15.38,-0.06,-0.39%,15.43,15.30,56,849,301,07/11/14,   
BAX,Baxter International Inc,76.59,-0.16,-0.21%,76.80,76.09,1,918,700,07/11/14,   
BBBY,Bed Bath & Beyond Inc,59.61,+1.28,+2.19%,59.72,57.87,6,049,800,07/11/14,   
BBT,BB&T Corp,39.69,+0.09,+0.23%,39.77,39.22,2,999,200,07/11/14,   
BBY,Best Buy Co.,29.89,-0.60,-1.97%,30.69,29.74,4,919,500,07/11/14,   
BCR,C.R. Bard,145.72,-0.02,-0.01%,146.07,144.72,279,100,07/11/14,   
BDX,Becton Dickinson and Company,119.36,+0.49,+0.41%,119.45,118.73,481,800,07/11/14,   
BEN,Franklin Resources,57.09,+0.29,+0.51%,57.37,56.59,1,345,000,07/11/14,   
BF.B,Brown Forman Inc B,93.85,+0.06,+0.06%,94.16,93.14,182,500,07/11/14,   
BHI,Baker Hughes Inc,72.70,-0.70,-0.95%,73.39,72.44,2,845,100,07/11/14,   
BIIB,Biogen Idec Inc,322.22,+3.10,+0.97%,323.44,316.04,946,900,07/11/14,   
BK,Bank of New York Mellon Corp,37.61,-0.11,-0.29%,37.65,37.40,4,403,700,07/11/14,   
BLK,Blackrock,317.81,+1.91,+0.60%,318.69,314.50,614,700,07/11/14,   
BLL,Ball Corp,63.07,-0.27,-0.43%,63.36,62.85,798,000,07/11/14,   
BMS,Bemis Company,40.46,+0.09,+0.22%,40.62,40.30,747,000,07/11/14,   
BMY,Bristol-Myers Squibb Company,48.62,+0.11,+0.23%,48.70,48.27,3,759,300,07/11/14,   
BRCM,Broadcom Corp,37.78,-0.07,-0.18%,37.99,37.61,2,793,700,07/11/14,   
BRK.B,Berkshire Hath Hld B,128.63,+0.18,+0.14%,128.72,127.93,1,819,800,07/11/14,   
